Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13175,JP Morgan,Commercial Banking - Accounting â Internal Controls â Associate,Non-FinTech,11,Nonfintech
13176,JP Morgan,"Wealth Management - Private Bank - Client Advisor - Vice President - Charlotte, NC",Lending,40,Fintech
13177,JP Morgan,"Personal Banker - Manfield, TX",Big Data,30,Fintech
13178,JP Morgan,"Personal Banker - Manfield, TX",Big Data,30,Fintech
13179,JP Morgan,"Personal Banker - Manfield, TX",Big Data,30,Fintech
13180,JP Morgan,"Personal Banker - Manfield, TX",Big Data,30,Fintech
13181,JP Morgan,"Relationship Banker - Bell Rd & 35th - Glendale, AZ",Big Data,31,Fintech
13182,JP Morgan,"Teller - Part-Time - Sunrise Kolb - Tucson, AZ",Non-FinTech,13,Nonfintech
13183,JP Morgan,"Merchant Services - Business Development Manager Senior - Chicago, IL",﻿Payments,47,Fintech
13184,JP Morgan,"Merchant Services - Business Development Manager Senior - Chicago, IL",﻿Payments,47,Fintech
13185,JP Morgan,"Sr Home Lending Advisor- New Orleans, LA",﻿Payments,28,Fintech
